review_group,candidate_id,domain,title,complexity_level,source_artifact,participation_opportunity,life_context_clear,role_meaning_clear,natural_completion_clear,forbidden_language_absent,scope_appropriate,decision,notes
"RECHECK","FP-WAVE-A-011","إعداد الطعام والوجبات","ترتيب الحوافظ في حقيبة السفر","moderate","","","","","","","","",""
"RECHECK","FP-CAND-001","إعداد الطعام والوجبات","تجهيز مائدة الإفطار","simple","","","","","","","","",""
"RECHECK","FP-WAVE-A-010","التسوق وإدارة المشتريات","فحص سلامة العبوات من الانبعاج أو التلف","moderate","","","","","","","","",""
"RECHECK","FP-CAND-011","التسوق وإدارة المشتريات","تجهيز أكياس التسوق للخروج","simple","","","","","","","","",""
"RECHECK","FP-WAVE-A-009","إدارة المنزل","إخراج العلب من الخزانة ومسح الأرفف","moderate","","","","","","","","",""
"RECHECK","FP-CAND-018","إدارة المنزل","إعادة الكتب إلى الرفوف","simple","","","","","","","","",""
"RECHECK","FP-WAVE-A-012","الأنشطة والمشاركة المجتمعية","تعبئة بيانات العنوان على الطرد","moderate","","","","","","","","",""
"RECHECK","FP-CAND-020","الأنشطة والمشاركة المجتمعية","تجهيز أغراض النزهة العائلية","moderate","","","","","","","","",""
"RECHECK","FP-WAVE-A-001","الصحة والمواعيد","البحث عن رقم العيادة","moderate","","","","","","","","",""
"RECHECK","FP-CAND-025","الصحة والمواعيد","تجهيز الأغراض الشخصية للموعد","simple","","","","","","","","",""
"RECHECK","FP-WAVE-A-005","الملابس والعناية بها","فرز الملابس المتسخة قبل الغسيل","moderate","","","","","","","","",""
"RECHECK","FP-WAVE-A-007","الملابس والعناية بها","فرز جزء من ملابس الخزانة حسب النوع","moderate","","","","","","","","",""
"EXPANSION","FP-CAND-002","إعداد الطعام والوجبات","تجهيز ما يلزم لتقديم الغداء","moderate","DALILI_CANDIDATE_LIBRARY_03_PRODUCTION_CONTRACT_COMPLETE","","","","","","","",""
"EXPANSION","FP-CAND-004","إعداد الطعام والوجبات","تجهيز تقديم المشروبات الساخنة","simple","DALILI_CANDIDATE_LIBRARY_03_PRODUCTION_CONTRACT_COMPLETE","","","","","","","",""
"EXPANSION","FP-CAND-009","التسوق وإدارة المشتريات","إعداد قائمة المشتريات","moderate","DALILI_CANDIDATE_LIBRARY_03_PRODUCTION_CONTRACT_COMPLETE","","","","","","","",""
"EXPANSION","FP-CAND-012","التسوق وإدارة المشتريات","تجهيز الخضار والفواكه المختارة للشراء","moderate","DALILI_CANDIDATE_LIBRARY_03_PRODUCTION_CONTRACT_COMPLETE","","","","","","","",""
"EXPANSION","FP-CAND-014","التسوق وإدارة المشتريات","اختيار وتجميع المنتجات المجمدة للشراء","moderate","DALILI_CANDIDATE_LIBRARY_03_PRODUCTION_CONTRACT_COMPLETE","","","","","","","",""
"EXPANSION","FP-CAND-016","إدارة المنزل","إعادة غرفة المعيشة إلى حالة مرتبة","moderate","DALILI_CANDIDATE_LIBRARY_03_PRODUCTION_CONTRACT_COMPLETE","","","","","","","",""
"EXPANSION","FP-CAND-019","إدارة المنزل","تنظيم محتويات خزانة المؤن","moderate","DALILI_CANDIDATE_LIBRARY_03_PRODUCTION_CONTRACT_COMPLETE","","","","","","","",""
"EXPANSION","FP-CAND-021","الأنشطة والمشاركة المجتمعية","المساهمة في تجهيز شيء للزيارة العائلية","moderate","DALILI_CANDIDATE_LIBRARY_03_PRODUCTION_CONTRACT_COMPLETE","","","","","","","",""
"EXPANSION","FP-CAND-026","الصحة والمواعيد","تجهيز ملف المستندات للموعد","moderate","DALILI_CANDIDATE_LIBRARY_03_PRODUCTION_CONTRACT_COMPLETE","","","","","","","",""
"EXPANSION","FP-WAVE-A-002","الصحة والمواعيد","تسجيل موعد الزيارة في التقويم","moderate","DALILI_CONTROLLED_EXPANSION_WAVE_A_12_CANDIDATES_01","","","","","","","",""
"EXPANSION","FP-WAVE-A-006","الملابس والعناية بها","طي الملابس النظيفة","moderate","DALILI_CONTROLLED_EXPANSION_WAVE_A_12_CANDIDATES_01","","","","","","","",""
"EXPANSION","FP-WAVE-A-008","الملابس والعناية بها","إخراج الملابس الموسمية من التخزين","moderate","DALILI_CONTROLLED_EXPANSION_WAVE_A_12_CANDIDATES_01","","","","","","","",""
"EDGE","FP-CAND-026","الصحة والمواعيد","تجهيز ملف المستندات للموعد","moderate","DALILI_CANDIDATE_LIBRARY_03_PRODUCTION_CONTRACT_COMPLETE","","","","","","","",""
"EDGE","FP-WAVE-A-001","الصحة والمواعيد","البحث عن رقم العيادة","moderate","DALILI_CONTROLLED_EXPANSION_WAVE_A_12_CANDIDATES_01","","","","","","","",""
"EDGE","FP-WAVE-A-012","الأنشطة والمشاركة المجتمعية","تعبئة بيانات العنوان على الطرد","moderate","DALILI_CONTROLLED_EXPANSION_WAVE_A_12_CANDIDATES_01","","","","","","","",""
"EDGE","FP-CAND-023","الأنشطة والمشاركة المجتمعية","اختيار وطلب وجبة في المطعم","moderate","DALILI_CANDIDATE_LIBRARY_03_PRODUCTION_CONTRACT_COMPLETE","","","","","","","",""
"EDGE","FP-WAVE-A-007","الملابس والعناية بها","فرز جزء من ملابس الخزانة حسب النوع","moderate","DALILI_CONTROLLED_EXPANSION_WAVE_A_12_CANDIDATES_01","","","","","","","",""
"EDGE","FP-CAND-028","الملابس والعناية بها","استلام طلب ملابس للأسرة","moderate","DALILI_CANDIDATE_LIBRARY_03_PRODUCTION_CONTRACT_COMPLETE","","","","","","","",""
