resource_id,title_ar,resource_type,publisher,target_audience,quality_notes,confidence_level,service_completeness,official_url,is_active,featured,display_order,last_verified,verification_status,updated_at
R_001,قانون حقوق أصحاب الهمم بدبي (2022),Policy / Rights Reference,حكومة دبي,الأسر والبالغون,سياسة تنظيمية,PRIMARY VERIFIED,COMPLETE,https://www.dubai.ae,true,true,1,2026-08-09,VERIFIED,2026-08-09
R_002,سياسة أصحاب الهمم - جامعة عجمان,Policy / Rights Reference,جامعة عجمان,الطلاب الجامعيون,دليل التسهيلات الأكاديمية,PRIMARY VERIFIED,COMPLETE,https://www.ajman.ac.ae,true,true,2,2026-08-09,VERIFIED,2026-08-09
R_003,دليل التوظيف الدامج لأصحاب الهمم,Toolkit / Guide,وزارة تنمية المجتمع (MoCD),أصحاب العمل والبالغون,دليل عملي لتجهيز بيئة العمل وإجراء المقابلات,PRIMARY VERIFIED,COMPLETE,https://www.mocd.gov.ae/ar/services/inclusive-employment-guide.aspx,true,true,3,2026-08-09,VERIFIED,2026-08-09
R_004,حقيبة التخطيط للانتقال للشباب (Transition Toolkit),Toolkit / Guide,مؤسسة سدرة (SEDRA),الشباب والأسر,أداة مرجعية شاملة للانتقال من المدرسة للرشد,PRIMARY VERIFIED,COMPLETE,https://sedra.org/resources/,true,true,4,2026-08-09,VERIFIED,2026-08-09
R_005,دليل التصميم الشامل (Universal Design),Toolkit / Guide,حكومة أبوظبي (DCD),المجتمع والأسر,معايير إمكانية الوصول والتسهيلات الحركية,PRIMARY VERIFIED,COMPLETE,https://addcd.gov.ae,true,true,5,2026-08-09,VERIFIED,2026-08-09
R_006,قاموس لغة الإشارة الإماراتي,Learning Platform,مؤسسة زايد العليا,المجتمع والشباب,معجم مرئي إلكتروني للغة الإشارة المحلية,PRIMARY VERIFIED,COMPLETE,https://zho.gov.ae/ar/Services/SignLanguageDictionary,true,true,6,2026-08-09,VERIFIED,2026-08-09
R_007,قائمة مراجعة الاستعداد للعمل (Work Readiness Checklist),Checklist,ImInclusive,الشباب الباحثون عن عمل,قائمة تقييم ذاتية للجاهزية الوظيفية,PRIMARY + SECONDARY,NEARLY_COMPLETE,https://iminclusive.com,true,false,7,2026-08-09,VERIFIED,2026-08-09
R_008,دورة: مدخل لسهولة الوصول للويب (Web Accessibility),Course / Self-learning,W3C / Coursera,البالغون والمهنيون,دورة تعليمية لتطوير المهارات الرقمية,PRIMARY VERIFIED,COMPLETE,https://www.coursera.org/learn/web-accessibility,true,true,8,2026-08-09,VERIFIED,2026-08-09
R_009,المبادئ التوجيهية للنفاذ الرقمي (ICT Accessibility),Toolkit / Guide,مركز مدى (Mada),الشباب والمهنيون,مرجع عربي لتهيئة المحتوى الرقمي,PRIMARY VERIFIED,COMPLETE,https://mada.org.qa/ar/,true,true,9,2026-08-09,VERIFIED,2026-08-09
R_010,دليل الأسرة لمرحلة الانتقال للرشد,Toolkit / Guide,Autism Speaks,الأسر,موجه للتوحد، قابل للتطبيق لمهارات الاستقلالية,PRIMARY VERIFIED,COMPLETE,https://www.autismspeaks.org/tool-kit/transition-tool-kit,true,true,10,2026-08-09,VERIFIED,2026-08-09
R_011,قائمة مراجعة مهارات الحياة المستقلة,Checklist,PACER Center,الأسر والشباب,أداة تقييم لتتبع تقدم المهارات اليومية,PRIMARY VERIFIED,COMPLETE,https://www.pacer.org/transition/,true,true,11,2026-08-09,VERIFIED,2026-08-09
R_012,تطبيق رؤية الذكاء الاصطناعي (Seeing AI),Digital Tool / App,Microsoft,ذوو الإعاقة البصرية,تطبيق يقرأ النصوص والمستندات في بيئة العمل,PRIMARY VERIFIED,COMPLETE,https://www.microsoft.com/en-us/garage/wall-of-fame/seeing-ai/,true,true,12,2026-08-09,VERIFIED,2026-08-09
R_013,دليل الترتيبات التيسيرية المعقولة في العمل,Toolkit / Guide,منظمة العمل الدولية (ILO),أصحاب العمل والشباب,مرجع للمطالبة بتسهيلات بيئة العمل,PRIMARY VERIFIED,COMPLETE,https://www.ilo.org/,true,true,13,2026-08-09,VERIFIED,2026-08-09
R_014,دورة تدريبية: القيادة الدامجة,Video Course,LinkedIn Learning,الشباب والمهنيون,مهارات العمل في بيئات التنوع والدمج,PRIMARY VERIFIED,COMPLETE,https://www.linkedin.com/learning/,true,true,14,2026-08-09,VERIFIED,2026-08-09
R_015,تطبيق Be My Eyes للمساعدة البصرية,Digital Tool / App,Be My Eyes,ذوو الإعاقة البصرية,مساعدة حية للأعمال اليومية عبر الفيديو,PRIMARY VERIFIED,COMPLETE,https://www.bemyeyes.com/,true,true,15,2026-08-09,VERIFIED,2026-08-09
R_016,دليل الانتقال للتعليم ما بعد الثانوي,Toolkit / Guide,Autism Speaks,الشباب الجامعيون,استراتيجيات النجاح في الكلية/الجامعة,PRIMARY VERIFIED,COMPLETE,https://www.autismspeaks.org/tool-kit/postsecondary-educational-opportunities-guide,true,true,16,2026-08-09,VERIFIED,2026-08-09
R_017,قائمة التقييم الذاتي للمناصرة الذاتية (Self-Advocacy),Checklist,DO-IT Center (Univ. of Washington),الشباب,أداة لتدريب الشاب على التعبير عن حقوقه,PRIMARY VERIFIED,COMPLETE,https://www.washington.edu/doit/,true,true,17,2026-08-09,VERIFIED,2026-08-09
R_018,السياسة الوطنية لتمكين أصحاب الهمم,Policy / Rights Reference,حكومة الإمارات,الأسر والمجتمع,الإطار الاستراتيجي للحقوق والخدمات بالدولة,PRIMARY VERIFIED,COMPLETE,https://u.ae/ar-ae/about-the-uae/human-rights-in-the-uae/rights-of-people-of-determination,true,true,18,2026-08-09,VERIFIED,2026-08-09
R_019,حقيبة توظيف أصحاب الهمم,Toolkit / Guide,Autism Speaks,الشباب الباحثون عن عمل,إعداد السيرة الذاتية واجتياز المقابلات,PRIMARY VERIFIED,COMPLETE,https://www.autismspeaks.org/tool-kit/employment-tool-kit,true,true,19,2026-08-09,VERIFIED,2026-08-09
R_020,التوجيهات المجتمعية للتأهيل المرتكز على المجتمع (CBR),Toolkit / Guide,منظمة الصحة العالمية (WHO),الأسر والمهنيون,أدلة التمكين والعمل والمشاركة المجتمعية,PRIMARY VERIFIED,COMPLETE,https://www.who.int/,true,true,20,2026-08-09,VERIFIED,2026-08-09
R_021,دورة: الدمج في التعليم والمجتمع,Course / Self-learning,EdX (Univ. of Cape Town),الأسر والمجتمع,دورة مفتوحة لفهم النماذج الحقوقية للإعاقة,PRIMARY VERIFIED,COMPLETE,https://www.edx.org/,true,true,21,2026-08-09,VERIFIED,2026-08-09
R_022,ميزات إمكانية الوصول في أجهزة Apple,Video Series / Guide,Apple,الجميع,دليل مرئي لاستخدام التكنولوجيا المساندة المدمجة,PRIMARY VERIFIED,COMPLETE,https://www.apple.com/accessibility/,true,true,22,2026-08-09,VERIFIED,2026-08-09
R_023,دليل الوصول الشامل لنظام Android,Video Series / Guide,Google,الجميع,شرح أدوات الدعم الصوتي والحركي بالهواتف,PRIMARY VERIFIED,COMPLETE,https://www.android.com/accessibility/,true,true,23,2026-08-09,VERIFIED,2026-08-09
