sample_id,candidate_id,proposed_framework_reference_id,domain,event_id,title,level,mode,source_evidence_ids,review_focus,decision,image_review_status,issue_type,reviewer_notes,required_fix
"EXP12-02-01","FP-CAND-002","FR-EXP12-02-FOOD002-OP001","إعداد الطعام والوجبات","FOOD-002","تجهيز ما يلزم لتقديم الغداء","moderate","shared","FOOD-002-OP003|FOOD-002-OP005","meal serving handoff|multi-block family preparation","","","","",""
"EXP12-02-02","FP-WAVE-A-011","FR-EXP12-02-FOOD007-OP002","إعداد الطعام والوجبات","FOOD-007","ترتيب الحوافظ في حقيبة السفر","moderate","individual","FOOD-007-OP004","travel packing|individual role inside family trip","","","","",""
"EXP12-02-03","FP-CAND-012","FR-EXP12-02-SHOP005-OP003","التسوق وإدارة المشتريات","SHOP-005","تجهيز الخضار والفواكه المختارة للشراء","moderate","shared","SHOP-005-OP001|SHOP-005-OP002|SHOP-005-OP003","shopping produce quality|weighing handoff","","","","",""
"EXP12-02-04","FP-WAVE-A-010","FR-EXP12-02-SHOP009-OP004","التسوق وإدارة المشتريات","SHOP-009","فحص سلامة العبوات من الانبعاج أو التلف","moderate","individual","SHOP-009-OP002","product inspection|choice-quality risk","","","","",""
"EXP12-02-05","FP-CAND-016","FR-EXP12-02-HOME002-OP005","إدارة المنزل","HOME-002","ترتيب الطاولة الوسطية في غرفة المعيشة","moderate","shared","HOME-002-OP001|HOME-002-OP002|HOME-002-OP003|HOME-002-OP004|HOME-002-OP005","home scope boundary|multi-object surface reset","","","","",""
"EXP12-02-06","FP-CAND-017","FR-EXP12-02-HOME006-OP006","إدارة المنزل","HOME-006","تنظيم أحذية الأسرة في المدخل","moderate","shared","HOME-006-OP001|HOME-006-OP002|HOME-006-OP003","matching/sorting|shared entryway order","","","","",""
"EXP12-02-07","FP-CAND-023","FR-EXP12-02-COMM007-OP007","الأنشطة والمشاركة المجتمعية","COMM-007","اختيار وطلب وجبة في المطعم","moderate","individual","COMM-007-OP002|COMM-007-OP003","staff communication|menu choice","","","","",""
"EXP12-02-08","FP-WAVE-A-012","FR-EXP12-02-COMM025-OP008","الأنشطة والمشاركة المجتمعية","COMM-025","تعبئة بيانات العنوان على الطرد","moderate","shared","COMM-025-OP001","address/timing context|pre-post office boundary","","","","",""
"EXP12-02-09","FP-WAVE-A-002","FR-EXP12-02-HEALTH001-OP009","الصحة والمواعيد","HEALTH-001","تسجيل موعد الزيارة في التقويم","moderate","shared","HEALTH-001-OP003","health appointment date handling|calendar entry","","","","",""
"EXP12-02-10","FP-WAVE-A-004","FR-EXP12-02-HEALTH007-OP010","الصحة والمواعيد","HEALTH-007","استلام رقم الانتظار","moderate","shared","HEALTH-007-OP003","health staff interaction|queue number handling","","","","",""
"EXP12-02-11","FP-CAND-028","FR-EXP12-02-CLO002-OP011","الملابس والعناية بها","CLO-002","استلام طلب ملابس للأسرة","moderate","individual","CLO-002-OP001","delivery/staff handoff|clothing order receipt","","","","",""
"EXP12-02-12","FP-CAND-029","FR-EXP12-02-CLO003-OP012","الملابس والعناية بها","CLO-003","إرجاع أو استبدال قطعة غير مناسبة","advanced","individual","CLO-003-OP001","advanced clothing return/exchange|scope and external-service risk","","","","",""
