test_id,opportunity_id,domain,decision,primary_issue,review_note,required_fix
EXP12-01,HOME-052-OP001,DOM-HOME,ACCEPT,NONE,"دور صغير وواضح داخل ترتيب خزانة المؤن؛ الأثر الطبيعي ظاهر.",NONE
EXP12-02,HOME-052-OP003,DOM-HOME,ACCEPT,NONE,"الدور مفهوم ويختم نشاطًا منزليًا ملموسًا دون قياس أداء.",NONE
EXP12-03,FOOD-002-OP002,DOM-FOOD,REVISE_WORDING,SENSORY_TEST_WORDING,"الفكرة مناسبة، لكن عبارة «ليختبر ملمس» تميل إلى اختبار/تجربة حسية أكثر من مشاركة أسرية.",استبدالها بصياغة أثر أسري مثل «ليشارك في تجهيز الخضروات للغداء».
EXP12-04,FOOD-006-OP001,DOM-FOOD,ACCEPT,NONE,"دور ضيافة واضح وصغير ومناسب لسياق عائلي.",NONE
EXP12-05,CLO-016-OP001,DOM-CLO,REVISE_WORDING,SKILL_LANGUAGE,"الفكرة صالحة، لكن why يستخدم «لتعلّم مهارة» وهذا يخالف لغة المشاركة الأسرية.",إعادة صياغة why حول مساهمة في تجهيز الملابس النظيفة لا التعلم أو المهارة.
EXP12-06,CLO-042-OP001,DOM-CLO,REVISE_WORDING,SKILL_LANGUAGE,"الفكرة مناسبة، لكن why يستخدم «لتعلّم مهارة التنظيم» ويحوّلها لهدف تعليمي.",استبدالها بأثر منزلي: بقاء المدخل مرتبًا ومعروفًا للأسرة.
EXP12-07,SHOP-001-OP002,DOM-SHOP,REVISE_SCOPE,ADVANCED_ROLE_TOO_BROAD,"الدور مفيد لكنه قد يصبح واسعًا إذا فُهم ككتابة قائمة كاملة؛ يحتاج تحديد دور جزئي.",حصرها في تدوين/إملاء عنصر أو عنصرين ناقصين ضمن قائمة الأسرة.
EXP12-08,SHOP-041-OP001,DOM-SHOP,ACCEPT,NONE,"بداية عملية صغيرة في التسوق، وتسلسلها واضح.",NONE
EXP12-09,COMM-006-OP002,DOM-COMM,ACCEPT,NONE,"تواصل مباشر مع موظف ضمن موقف حقيقي، مع بديل بطاقة طلب عند الحاجة.",NONE
EXP12-10,COMM-008-OP002,DOM-COMM,ACCEPT,NONE,"دور محدد في استلام الطلب، لا يحمل قياس أداء ولا استقلالية.",NONE
EXP12-11,HEALTH-003-OP001,DOM-HEALTH,ACCEPT,NONE,"جمع التقارير دور تحضيري صغير قبل موعد صحي، مع أثر واضح.",NONE
EXP12-12,HEALTH-014-OP001,DOM-HEALTH,REVISE_CONTEXT,HEALTH_SAFETY_AND_SELF_FRAMING,"الفكرة قابلة للاختبار، لكن «تذكير نفسه» وسياق الدواء يحتاجان إطار أسرة وإشراف واضح.",صياغتها كإعداد منبه مع الأسرة، مع بقاء قرار الدواء والتحقق للبالغ/مقدم الرعاية.
