sample_id,framework_reference_id,candidate_id,event_id,domain,title,block_id,block_order,step_text,expected_asset_code,preferred_file_name,image_review_status,required_context,visual_brief,safety_notes,accept_if,reject_if
"EXP12-02-01","FR-EXP12-02-FOOD002-OP001","FP-CAND-002","FOOD-002","إعداد الطعام والوجبات","تجهيز أدوات تقديم الغداء","FR-EXP12-02-FOOD002-OP001-b1","1","إحضار أدوات التقديم إلى المائدة","VRS-EXP12-02-FOOD-SERVE-S01","EXP12-02-FOOD-SERVE-S01.png","IMAGE_REPLACE_LATER","أثناء نقل الغداء من التحضير إلى التقديم للأسرة","صورة خطوة واحدة تعبّر عن: إحضار أدوات التقديم إلى المائدة. السياق: أثناء نقل الغداء من التحضير إلى التقديم للأسرة.","مشهد عائلي طبيعي بلا نص مقروء أو شعارات أو تركيز على أداء/تدريب.","يعبر عن الفعل العام ولا يحتوي مضمونًا غير متسق أخلاقيًا أو مهنيًا.","يعرض خطرًا، بيانات شخصية، علاج/تشخيص، دفعًا ماليًا، عزلة طفل مع موظف/مندوب، أو معنى يخالف خطوة المشاركة."
"EXP12-02-01","FR-EXP12-02-FOOD002-OP001","FP-CAND-002","FOOD-002","إعداد الطعام والوجبات","تجهيز أدوات تقديم الغداء","FR-EXP12-02-FOOD002-OP001-b2","2","وضع الطبق أو عنصر التقديم في مكانه","VRS-EXP12-02-FOOD-SERVE-S02","EXP12-02-FOOD-SERVE-S02.png","IMAGE_REPLACE_LATER","أثناء نقل الغداء من التحضير إلى التقديم للأسرة","صورة خطوة واحدة تعبّر عن: وضع الطبق أو عنصر التقديم في مكانه. السياق: أثناء نقل الغداء من التحضير إلى التقديم للأسرة.","مشهد عائلي طبيعي بلا نص مقروء أو شعارات أو تركيز على أداء/تدريب.","يعبر عن الفعل العام ولا يحتوي مضمونًا غير متسق أخلاقيًا أو مهنيًا.","يعرض خطرًا، بيانات شخصية، علاج/تشخيص، دفعًا ماليًا، عزلة طفل مع موظف/مندوب، أو معنى يخالف خطوة المشاركة."
"EXP12-02-02","FR-EXP12-02-FOOD007-OP002","FP-WAVE-A-011","FOOD-007","إعداد الطعام والوجبات","ترتيب حوافظ الطعام في حقيبة الرحلة","FR-EXP12-02-FOOD007-OP002-b1","1","وضع الحوافظ في الحقيبة","VRS-EXP12-02-FOOD-TRAVEL-BAG-S01","EXP12-02-FOOD-TRAVEL-BAG-S01.png","IMAGE_REPLACE_LATER","أثناء تجهيز وجبة سفر أو نزهة قبل الخروج مع الأسرة","صورة خطوة واحدة تعبّر عن: وضع الحوافظ في الحقيبة. السياق: أثناء تجهيز وجبة سفر أو نزهة قبل الخروج مع الأسرة.","مشهد عائلي طبيعي بلا نص مقروء أو شعارات أو تركيز على أداء/تدريب.","يعبر عن الفعل العام ولا يحتوي مضمونًا غير متسق أخلاقيًا أو مهنيًا.","يعرض خطرًا، بيانات شخصية، علاج/تشخيص، دفعًا ماليًا، عزلة طفل مع موظف/مندوب، أو معنى يخالف خطوة المشاركة."
"EXP12-02-02","FR-EXP12-02-FOOD007-OP002","FP-WAVE-A-011","FOOD-007","إعداد الطعام والوجبات","ترتيب حوافظ الطعام في حقيبة الرحلة","FR-EXP12-02-FOOD007-OP002-b2","2","ترتيب الحوافظ بجانب بعضها","VRS-EXP12-02-FOOD-TRAVEL-BAG-S02","EXP12-02-FOOD-TRAVEL-BAG-S02.png","IMAGE_REPLACE_LATER","أثناء تجهيز وجبة سفر أو نزهة قبل الخروج مع الأسرة","صورة خطوة واحدة تعبّر عن: ترتيب الحوافظ بجانب بعضها. السياق: أثناء تجهيز وجبة سفر أو نزهة قبل الخروج مع الأسرة.","مشهد عائلي طبيعي بلا نص مقروء أو شعارات أو تركيز على أداء/تدريب.","يعبر عن الفعل العام ولا يحتوي مضمونًا غير متسق أخلاقيًا أو مهنيًا.","يعرض خطرًا، بيانات شخصية، علاج/تشخيص، دفعًا ماليًا، عزلة طفل مع موظف/مندوب، أو معنى يخالف خطوة المشاركة."
"EXP12-02-03","FR-EXP12-02-SHOP005-OP003","FP-CAND-012","SHOP-005","التسوق وإدارة المشتريات","تجهيز الخضار والفواكه المختارة للشراء","FR-EXP12-02-SHOP005-OP003-b1","1","أخذ المنتجات التي اختارتها الأسرة","VRS-EXP12-02-SHOP-PRODUCE-S01","EXP12-02-SHOP-PRODUCE-S01.png","IMAGE_REPLACE_LATER","أثناء التسوق من قسم الخضار والفواكه مع الأسرة","صورة خطوة واحدة تعبّر عن: أخذ المنتجات التي اختارتها الأسرة. السياق: أثناء التسوق من قسم الخضار والفواكه مع الأسرة.","مشهد عائلي طبيعي بلا نص مقروء أو شعارات أو تركيز على أداء/تدريب.","يعبر عن الفعل العام ولا يحتوي مضمونًا غير متسق أخلاقيًا أو مهنيًا.","يعرض خطرًا، بيانات شخصية، علاج/تشخيص، دفعًا ماليًا، عزلة طفل مع موظف/مندوب، أو معنى يخالف خطوة المشاركة."
"EXP12-02-03","FR-EXP12-02-SHOP005-OP003","FP-CAND-012","SHOP-005","التسوق وإدارة المشتريات","تجهيز الخضار والفواكه المختارة للشراء","FR-EXP12-02-SHOP005-OP003-b2","2","وضع المنتجات في الأكياس المخصصة","VRS-EXP12-02-SHOP-PRODUCE-S02","EXP12-02-SHOP-PRODUCE-S02.png","IMAGE_REPLACE_LATER","أثناء التسوق من قسم الخضار والفواكه مع الأسرة","صورة خطوة واحدة تعبّر عن: وضع المنتجات في الأكياس المخصصة. السياق: أثناء التسوق من قسم الخضار والفواكه مع الأسرة.","مشهد عائلي طبيعي بلا نص مقروء أو شعارات أو تركيز على أداء/تدريب.","يعبر عن الفعل العام ولا يحتوي مضمونًا غير متسق أخلاقيًا أو مهنيًا.","يعرض خطرًا، بيانات شخصية، علاج/تشخيص، دفعًا ماليًا، عزلة طفل مع موظف/مندوب، أو معنى يخالف خطوة المشاركة."
"EXP12-02-03","FR-EXP12-02-SHOP005-OP003","FP-CAND-012","SHOP-005","التسوق وإدارة المشتريات","تجهيز الخضار والفواكه المختارة للشراء","FR-EXP12-02-SHOP005-OP003-b3","3","تسليم الأكياس للوزن أو وضعها في العربة","VRS-EXP12-02-SHOP-PRODUCE-S03","EXP12-02-SHOP-PRODUCE-S03.png","IMAGE_REPLACE_LATER","أثناء التسوق من قسم الخضار والفواكه مع الأسرة","صورة خطوة واحدة تعبّر عن: تسليم الأكياس للوزن أو وضعها في العربة. السياق: أثناء التسوق من قسم الخضار والفواكه مع الأسرة.","مشهد عائلي طبيعي بلا نص مقروء أو شعارات أو تركيز على أداء/تدريب.","يعبر عن الفعل العام ولا يحتوي مضمونًا غير متسق أخلاقيًا أو مهنيًا.","يعرض خطرًا، بيانات شخصية، علاج/تشخيص، دفعًا ماليًا، عزلة طفل مع موظف/مندوب، أو معنى يخالف خطوة المشاركة."
"EXP12-02-04","FR-EXP12-02-SHOP009-OP004","FP-WAVE-A-010","SHOP-009","التسوق وإدارة المشتريات","فحص ظاهر لعبوة محددة قبل الشراء","FR-EXP12-02-SHOP009-OP004-b1","1","حمل عبوة واحدة تحددها الأسرة","VRS-EXP12-02-SHOP-PACKAGE-CHECK-S01","EXP12-02-SHOP-PACKAGE-CHECK-S01.png","IMAGE_REPLACE_LATER","أثناء شراء المواد المعلبة والجافة مع الأسرة","صورة خطوة واحدة تعبّر عن: حمل عبوة واحدة تحددها الأسرة. السياق: أثناء شراء المواد المعلبة والجافة مع الأسرة.","إظهار الأسرة/بالغ مرافق عند وجود موظف أو سياق صحي أو تسليم/إرجاع؛ عدم إظهار بيانات شخصية أو نصوص مقروءة أو دفع أو قرار طبي/تجاري مستقل.","يعبر عن الفعل العام ولا يحتوي مضمونًا غير متسق أخلاقيًا أو مهنيًا.","يعرض خطرًا، بيانات شخصية، علاج/تشخيص، دفعًا ماليًا، عزلة طفل مع موظف/مندوب، أو معنى يخالف خطوة المشاركة."
"EXP12-02-04","FR-EXP12-02-SHOP009-OP004","FP-WAVE-A-010","SHOP-009","التسوق وإدارة المشتريات","فحص ظاهر لعبوة محددة قبل الشراء","FR-EXP12-02-SHOP009-OP004-b2","2","النظر إلى وجود انبعاج أو تلف ظاهر","VRS-EXP12-02-SHOP-PACKAGE-CHECK-S02","EXP12-02-SHOP-PACKAGE-CHECK-S02.png","IMAGE_REPLACE_LATER","أثناء شراء المواد المعلبة والجافة مع الأسرة","صورة خطوة واحدة تعبّر عن: النظر إلى وجود انبعاج أو تلف ظاهر. السياق: أثناء شراء المواد المعلبة والجافة مع الأسرة.","إظهار الأسرة/بالغ مرافق عند وجود موظف أو سياق صحي أو تسليم/إرجاع؛ عدم إظهار بيانات شخصية أو نصوص مقروءة أو دفع أو قرار طبي/تجاري مستقل.","يعبر عن الفعل العام ولا يحتوي مضمونًا غير متسق أخلاقيًا أو مهنيًا.","يعرض خطرًا، بيانات شخصية، علاج/تشخيص، دفعًا ماليًا، عزلة طفل مع موظف/مندوب، أو معنى يخالف خطوة المشاركة."
"EXP12-02-04","FR-EXP12-02-SHOP009-OP004","FP-WAVE-A-010","SHOP-009","التسوق وإدارة المشتريات","فحص ظاهر لعبوة محددة قبل الشراء","FR-EXP12-02-SHOP009-OP004-b3","3","وضع العبوة مع المشتريات أو جانبًا للمراجعة","VRS-EXP12-02-SHOP-PACKAGE-CHECK-S03","EXP12-02-SHOP-PACKAGE-CHECK-S03.png","IMAGE_REPLACE_LATER","أثناء شراء المواد المعلبة والجافة مع الأسرة","صورة خطوة واحدة تعبّر عن: وضع العبوة مع المشتريات أو جانبًا للمراجعة. السياق: أثناء شراء المواد المعلبة والجافة مع الأسرة.","إظهار الأسرة/بالغ مرافق عند وجود موظف أو سياق صحي أو تسليم/إرجاع؛ عدم إظهار بيانات شخصية أو نصوص مقروءة أو دفع أو قرار طبي/تجاري مستقل.","يعبر عن الفعل العام ولا يحتوي مضمونًا غير متسق أخلاقيًا أو مهنيًا.","يعرض خطرًا، بيانات شخصية، علاج/تشخيص، دفعًا ماليًا، عزلة طفل مع موظف/مندوب، أو معنى يخالف خطوة المشاركة."
