card_id,opportunity_id,why,before_start,participation_steps,make_it_easier,participation_levels,indicators,whats_next,support_notes,status,source_file
CLO-001-CARD001,CLO-001-OP001,لأن اختيار الملابس فرصة لتعلّم اتخاذ القرار وتفضيل الألوان والمقاسات. لأنها تمنح إحساسًا بالانتماء للأسرة عند المشاركة في قرار جماعي.,حدّد قائمة بالاحتياجات (نوع القطعة، المقاس، الموسم). اختر وقتًا هادئًا بعيدًا عن الازدحام إن كان التسوق في متجر فعلي.,مراجعة القطع الموجودة وتحديد الناقص. اختيار المتجر أو الموقع الإلكتروني المناسب. تجربة القطعة أو مطابقة المقاس. اتخاذ قرار الشراء.,استخدام صور مرجعية للمقاسات والألوان المفضلة مسبقًا. تحديد عدد محدود من الخيارات لتقليل التشتت.,مراقبة الاختيار مع البالغ. المشاركة في تحديد اللون أو النوع. اتخاذ القرار النهائي بشكل مستقل.,القدرة على التعبير عن تفضيل واضح. تقليل زمن التردد أثناء الاختيار.,"الانتقال إلى فرصة ""استلام طلب ملابس عبر الإنترنت"" عند التسوق الرقمي.",بطاقة تفضيلات مصورة، قائمة تحقق للمقاسات.,معتمد مبدئيًا,Pasted markdown(20).md
CLO-002-CARD001,CLO-002-OP001,لتعلّم خطوات الاستلام والتحقق من المحتويات، وهي مهارة حياتية رقمية متكررة.,معرفة موعد الوصول المتوقع. تجهيز مكان لفتح الطرد بهدوء.,استلام الطرد من الباب أو نقطة التسليم. فتحه بحذر. مطابقة المحتويات مع الطلب. تجربة القطعة إن أمكن.,استخدام قائمة تحقق مرفقة بصور القطع المطلوبة.,مراقبة الفتح. المساعدة في الفحص والمطابقة. تنفيذ الاستلام والفحص بمفرده.,التعرف على القطع دون مساعدة. الإبلاغ عن أي خطأ في الطلب.,"الانتقال إلى فرصة ""إرجاع أو استبدال ملابس غير مناسبة"" عند وجود خطأ.",قائمة تحقق مصورة للمطابقة.,معتمد مبدئيًا,Pasted markdown(20).md
CLO-003-CARD001,CLO-003-OP001,لتعلّم حل المشكلات والتواصل مع الآخرين لتصحيح موقف غير مناسب.,تجهيز القطعة والفاتورة أو رقم الطلب. تحديد سبب الإرجاع بوضوح.,تحديد سبب عدم المناسبة (المقاس/الجودة). تجهيز القطعة للإرجاع. التوجه للمتجر أو تجهيز الشحنة. تسليم القطعة واستلام البديل أو المبلغ.,تحضير جملة جاهزة لشرح سبب الإرجاع.,مراقبة عملية الإرجاع. المشاركة في شرح السبب. تنفيذ الإرجاع بشكل مستقل.,القدرة على التعبير عن سبب المشكلة بوضوح.,"العودة إلى فرصة ""شراء ملابس جديدة للأسرة"" لاختيار البديل.",بطاقة جمل جاهزة للتواصل.,معتمد مبدئيًا,Pasted markdown(20).md
CLO-004-CARD001,CLO-004-OP001,لبناء مهارة الربط بين حالة الطقس واختيار الملبس المناسب، وهي مهارة استقلالية يومية أساسية.,معرفة حالة الطقس المتوقعة لليوم. إتاحة الوصول لخزانة الملابس.,التحقق من درجة الحرارة. اختيار نوع القماش المناسب. اختيار القطع (علوي/سفلي). التأكد من التناسق العام.,استخدام رموز بصرية للطقس (شمس/مطر/برد) مرتبطة بأنواع الملابس.,مراقبة اختيار البالغ. الاختيار بين خيارين مقترحين. الاختيار الكامل المستقل.,تقليل عدد مرات تصحيح الاختيار من قِبل البالغ.,"الانتقال إلى فرصة ""ارتداء الملابس"".",بطاقة رموز الطقس والملابس المرتبطة بها.,معتمد مبدئيًا,Pasted markdown(20).md
CLO-005-CARD001,CLO-005-OP001,لتعزيز الشعور بالراحة والاستقلالية في روتين النوم.,معرفة درجة حرارة الغرفة والموسم. إتاحة قطع نوم محدودة وواضحة.,تقييم درجة الحرارة. اختيار قطعة النوم المناسبة. ارتداؤها كجزء من روتين ما قبل النوم.,تخصيص درج أو رف واضح لملابس النوم فقط.,مراقبة الاختيار. الاختيار من بين قطعتين. الاختيار والارتداء المستقل الكامل.,الانتظام في اختيار قطعة مناسبة دون تذكير.,"الارتباط بفرصة ""خلع الملابس في نهاية اليوم"".",جدول روتين مصور لما قبل النوم.,معتمد مبدئيًا,Pasted markdown(20).md
CLO-006-CARD001,CLO-006-OP001,لتعلّم قراءة سياق المناسبة واختيار الزي المناسب لها، وهي مهارة اجتماعية مهمة.,معرفة نوع المناسبة ودرجة رسميتها. تجهيز خيارات الزي المناسبة مسبقًا.,تحديد نوع المناسبة. مراجعة الخيارات المتاحة. اختيار الزي المناسب. التأكد من نظافته وجاهزيته.,"تصنيف الخزانة إلى ""يومي/رسمي"" بعلامات واضحة.",مراقبة اختيار البالغ. المشاركة في الاختيار من مجموعة محددة. الاختيار الكامل المستقل.,ملاءمة الاختيار لنوع المناسبة دون تدخل.,"الانتقال إلى فرصة ""اختيار إكسسوارات مناسبة للملابس المرتداة"".",بطاقة تصنيف المناسبات والأزياء المناسبة لها.,معتمد مبدئيًا,Pasted markdown(20).md
CLO-007-CARD001,CLO-007-OP001,لأنها مهارة استقلالية أساسية يومية ترتبط بالخصوصية والاستعداد للنشاط.,تجهيز القطع المختارة مسبقًا وبترتيب الارتداء. إتاحة خصوصية كافية في المكان.,ارتداء الملابس الداخلية. ارتداء القطعة السفلية ثم العلوية. إغلاق الأزرار أو السحابات. التأكد من الترتيب النهائي.,ترتيب القطع بتسلسل الارتداء على الكرسي أو السرير مسبقًا.,مساعدة كاملة. مساعدة جزئية في خطوة واحدة (مثل الأزرار). ارتداء مستقل كامل.,تقليل عدد الخطوات التي تحتاج مساعدة.,"الانتقال إلى فرصة ""خلع الملابس في نهاية اليوم"" لاحقًا في اليوم.",بطاقة تسلسل مصورة لخطوات الارتداء.,معتمد مبدئيًا,Pasted markdown(20).md
CLO-008-CARD001,CLO-008-OP001,لتعزيز روتين النظافة الشخصية والانتقال المريح نحو الراحة أو النوم.,تجهيز سلة أو مكان مخصص للملابس المخلوعة.,خلع القطعة العلوية. خلع القطعة السفلية. وضع الملابس في السلة المخصصة.,وضع سلة الغسيل في مكان قريب ومرئي.,مساعدة كاملة. مساعدة جزئية. تنفيذ مستقل مع وضع الملابس في مكانها الصحيح.,الانتظام في وضع الملابس في السلة دون تذكير.,"الارتباط بفرصة ""جمع الملابس المتسخة من أفراد الأسرة"".",ملصق توضيحي على السلة المخصصة.,معتمد مبدئيًا,Pasted markdown(20).md
CLO-009-CARD001,CLO-009-OP001,لتعلّم التعرف على الحاجة للتغيير حفاظًا على النظافة والراحة الجسدية.,معرفة مكان الملابس البديلة الجاهزة.,ملاحظة الاتساخ أو البلل. خلع القطعة المتأثرة. ارتداء قطعة نظيفة بديلة. وضع القطعة المتسخة في مكانها الصحيح.,تجهيز طقم بديل جاهز في مكان يسهل الوصول إليه.,طلب المساعدة عند الحاجة. التغيير بمساعدة جزئية. التغيير المستقل الكامل عند الملاحظة الذاتية.,سرعة الاستجابة عند ملاحظة الحاجة للتغيير.,"الارتباط بفرصة ""تغيير اللباس الداخلي اليومي"".",إشارة أو بطاقة طلب مساعدة سريعة.,معتمد مبدئيًا,Pasted markdown(20).md
CLO-010-CARD001,CLO-010-OP001,لتعلّم المساهمة في مهام الأسرة المشتركة وتحمّل مسؤولية بسيطة ومنتظمة.,معرفة أماكن السلال المخصصة في كل غرفة.,المرور على الغرف والحمامات. تجميع الملابس المستخدمة. نقلها إلى منطقة الغسيل.,استخدام سلة متنقلة سهلة الحمل.,المرافقة أثناء الجمع. الجمع من غرفة واحدة محددة. الجمع الكامل من كل الغرف.,إتمام المهمة دون تذكير متكرر.,"الانتقال إلى فرصة ""فرز الملابس المتسخة قبل الغسيل"".",قائمة تحقق بأماكن السلال.,معتمد مبدئيًا,Pasted markdown(20).md
