review_item_id,candidate_id,domain,title,complexity_level,participation_opportunity,life_context_clear,role_meaning_clear,natural_completion_clear,forbidden_language_absent,decision,notes
"PILOT-01-01","FP-WAVE-A-011","إعداد الطعام والوجبات","ترتيب الحوافظ في حقيبة السفر","moderate","","","","","","",""
"PILOT-01-02","FP-CAND-001","إعداد الطعام والوجبات","تجهيز مائدة الإفطار","simple","","","","","","",""
"PILOT-01-03","FP-WAVE-A-010","التسوق وإدارة المشتريات","فحص سلامة العبوات من الانبعاج أو التلف","moderate","","","","","","",""
"PILOT-01-04","FP-CAND-011","التسوق وإدارة المشتريات","تجهيز أكياس التسوق للخروج","simple","","","","","","",""
"PILOT-01-05","FP-WAVE-A-009","إدارة المنزل","إخراج العلب من الخزانة ومسح الأرفف","moderate","","","","","","",""
"PILOT-01-06","FP-CAND-018","إدارة المنزل","إعادة الكتب إلى الرفوف","simple","","","","","","",""
"PILOT-01-07","FP-WAVE-A-012","الأنشطة والمشاركة المجتمعية","تعبئة بيانات العنوان على الطرد","moderate","","","","","","",""
"PILOT-01-08","FP-CAND-020","الأنشطة والمشاركة المجتمعية","تجهيز أغراض النزهة العائلية","moderate","","","","","","",""
"PILOT-01-09","FP-WAVE-A-001","الصحة والمواعيد","البحث عن رقم العيادة","moderate","","","","","","",""
"PILOT-01-10","FP-CAND-025","الصحة والمواعيد","تجهيز الأغراض الشخصية للموعد","simple","","","","","","",""
"PILOT-01-11","FP-WAVE-A-005","الملابس والعناية بها","فرز الملابس المتسخة قبل الغسيل","moderate","","","","","","",""
"PILOT-01-12","FP-WAVE-A-007","الملابس والعناية بها","ترتيب وإعادة تنظيم خزانة الملابس","advanced","","","","","","",""
