legacy_id,opportunity_id,opportunity_title_ar,parent_event_id,parent_event_title_ar,domain_id,domain_title_ar,domain_category,event_description,event_environment,event_frequency,event_related_domains,daily_event_id,routine_station_link,legacy_purpose_text,legacy_participation_level,legacy_future_participation_level,legacy_role_scope,legacy_organization_demand,legacy_variation_demand,legacy_classification_reason,legacy_safety_mode,legacy_assistance_levels,legacy_performance_indicators,legacy_independence_mastery,legacy_instructions_before_start,legacy_execution_steps,legacy_make_it_easier,legacy_support_notes,legacy_card_id,legacy_card_count,display_order,status,review_required,source_file_field,source_file,source_row_index,reference_source,framework_validated,resolvable_in_production_boundary,card_pending,superseded_by_framework_reference,normalized_title,has_parent_event,has_title,has_purpose,has_execution_content,has_assistance_fields,has_performance_fields,exact_title_equals_parent_event,matched_tokens,matched_fields
CLO-001-OP001,CLO-001-OP001,شراء ملابس جديدة للأسرة,CLO-001,شراء ملابس جديدة للأسرة,DOM-CLO,الملابس والعناية بها,منزلي,,,,,CLO-001,,لأن اختيار الملابس فرصة لتعلّم اتخاذ القرار وتفضيل الألوان والمقاسات. لأنها تمنح إحساسًا بالانتماء للأسرة عند المشاركة في قرار جماعي.,advanced,,advanced,advanced,advanced,تطابقت الأبعاد الثلاثة: حجم الدور متقدم، الترابط والتنظيم متقدم، الاختيار والتكيف متقدم.,,مراقبة الاختيار مع البالغ. المشاركة في تحديد اللون أو النوع. اتخاذ القرار النهائي بشكل مستقل.,القدرة على التعبير عن تفضيل واضح. تقليل زمن التردد أثناء الاختيار.,"الانتقال إلى فرصة ""استلام طلب ملابس عبر الإنترنت"" عند التسوق الرقمي.",حدّد قائمة بالاحتياجات (نوع القطعة، المقاس، الموسم). اختر وقتًا هادئًا بعيدًا عن الازدحام إن كان التسوق في متجر فعلي.,مراجعة القطع الموجودة وتحديد الناقص. اختيار المتجر أو الموقع الإلكتروني المناسب. تجربة القطعة أو مطابقة المقاس. اتخاذ قرار الشراء.,استخدام صور مرجعية للمقاسات والألوان المفضلة مسبقًا. تحديد عدد محدود من الخيارات لتقليل التشتت.,بطاقة تفضيلات مصورة، قائمة تحقق للمقاسات.,CLO-001-CARD001,1,1,معتمد مبدئيًا,false,Pasted markdown(20).md,src/data/knowledge/03_participation_opportunities.csv,2,legacy_master,false,true,false,,شراء ملابس جديده للاسره,true,true,true,true,true,true,true,لتعلّم|تعلّم|مراقبة,legacy_purpose_text|legacy_assistance_levels
CLO-002-OP001,CLO-002-OP001,استلام طلب ملابس عبر الإنترنت,CLO-002,استلام طلب ملابس عبر الإنترنت,DOM-CLO,الملابس والعناية بها,منزلي,,,,,CLO-002,,لتعلّم خطوات الاستلام والتحقق من المحتويات، وهي مهارة حياتية رقمية متكررة.,advanced,,advanced,advanced,advanced,تطابقت الأبعاد الثلاثة: حجم الدور متقدم، الترابط والتنظيم متقدم، الاختيار والتكيف متقدم.,,مراقبة الفتح. المساعدة في الفحص والمطابقة. تنفيذ الاستلام والفحص بمفرده.,التعرف على القطع دون مساعدة. الإبلاغ عن أي خطأ في الطلب.,"الانتقال إلى فرصة ""إرجاع أو استبدال ملابس غير مناسبة"" عند وجود خطأ.",معرفة موعد الوصول المتوقع. تجهيز مكان لفتح الطرد بهدوء.,استلام الطرد من الباب أو نقطة التسليم. فتحه بحذر. مطابقة المحتويات مع الطلب. تجربة القطعة إن أمكن.,استخدام قائمة تحقق مرفقة بصور القطع المطلوبة.,قائمة تحقق مصورة للمطابقة.,CLO-002-CARD001,1,1,معتمد مبدئيًا,false,Pasted markdown(20).md,src/data/knowledge/03_participation_opportunities.csv,3,legacy_master,false,true,false,,استلام طلب ملابس عبر الانترنت,true,true,true,true,true,true,true,لتعلّم|تعلّم|بمفرده|مراقبة,legacy_purpose_text|legacy_assistance_levels
CLO-003-OP001,CLO-003-OP001,إرجاع أو استبدال ملابس غير مناسبة,CLO-003,إرجاع أو استبدال ملابس غير مناسبة,DOM-CLO,الملابس والعناية بها,منزلي,,,,,CLO-003,,لتعلّم حل المشكلات والتواصل مع الآخرين لتصحيح موقف غير مناسب.,advanced,,advanced,advanced,advanced,تطابقت الأبعاد الثلاثة: حجم الدور متقدم، الترابط والتنظيم متقدم، الاختيار والتكيف متقدم.,,مراقبة عملية الإرجاع. المشاركة في شرح السبب. تنفيذ الإرجاع بشكل مستقل.,القدرة على التعبير عن سبب المشكلة بوضوح.,"العودة إلى فرصة ""شراء ملابس جديدة للأسرة"" لاختيار البديل.",تجهيز القطعة والفاتورة أو رقم الطلب. تحديد سبب الإرجاع بوضوح.,تحديد سبب عدم المناسبة (المقاس/الجودة). تجهيز القطعة للإرجاع. التوجه للمتجر أو تجهيز الشحنة. تسليم القطعة واستلام البديل أو المبلغ.,تحضير جملة جاهزة لشرح سبب الإرجاع.,بطاقة جمل جاهزة للتواصل.,CLO-003-CARD001,1,1,معتمد مبدئيًا,false,Pasted markdown(20).md,src/data/knowledge/03_participation_opportunities.csv,4,legacy_master,false,true,false,,ارجاع او استبدال ملابس غير مناسبه,true,true,true,true,true,true,true,لتعلّم|تعلّم|مراقبة,legacy_purpose_text|legacy_assistance_levels
CLO-004-OP001,CLO-004-OP001,اختيار ملابس النهار المناسبة للطقس,CLO-004,اختيار ملابس النهار المناسبة للطقس,DOM-CLO,الملابس والعناية بها,منزلي,,,,,CLO-004,,لبناء مهارة الربط بين حالة الطقس واختيار الملبس المناسب، وهي مهارة استقلالية يومية أساسية.,advanced,,moderate,advanced,advanced,اعتُمد مستوى بُعدين من ثلاثة: حجم الدور متوسط، الترابط والتنظيم متقدم، الاختيار والتكيف متقدم.,,مراقبة اختيار البالغ. الاختيار بين خيارين مقترحين. الاختيار الكامل المستقل.,تقليل عدد مرات تصحيح الاختيار من قِبل البالغ.,"الانتقال إلى فرصة ""ارتداء الملابس"".",معرفة حالة الطقس المتوقعة لليوم. إتاحة الوصول لخزانة الملابس.,التحقق من درجة الحرارة. اختيار نوع القماش المناسب. اختيار القطع (علوي/سفلي). التأكد من التناسق العام.,استخدام رموز بصرية للطقس (شمس/مطر/برد) مرتبطة بأنواع الملابس.,بطاقة رموز الطقس والملابس المرتبطة بها.,CLO-004-CARD001,1,1,معتمد مبدئيًا,false,Pasted markdown(20).md,src/data/knowledge/03_participation_opportunities.csv,5,legacy_master,false,true,false,,اختيار ملابس النهار المناسبه للطقس,true,true,true,true,true,true,true,مراقبة,legacy_assistance_levels
CLO-005-OP001,CLO-005-OP001,اختيار ملابس النوم,CLO-005,اختيار ملابس النوم,DOM-CLO,الملابس والعناية بها,منزلي,,,,,CLO-005,,لتعزيز الشعور بالراحة والاستقلالية في روتين النوم.,advanced,,moderate,advanced,advanced,اعتُمد مستوى بُعدين من ثلاثة: حجم الدور متوسط، الترابط والتنظيم متقدم، الاختيار والتكيف متقدم.,,مراقبة الاختيار. الاختيار من بين قطعتين. الاختيار والارتداء المستقل الكامل.,الانتظام في اختيار قطعة مناسبة دون تذكير.,"الارتباط بفرصة ""خلع الملابس في نهاية اليوم"".",معرفة درجة حرارة الغرفة والموسم. إتاحة قطع نوم محدودة وواضحة.,تقييم درجة الحرارة. اختيار قطعة النوم المناسبة. ارتداؤها كجزء من روتين ما قبل النوم.,تخصيص درج أو رف واضح لملابس النوم فقط.,جدول روتين مصور لما قبل النوم.,CLO-005-CARD001,1,1,معتمد مبدئيًا,false,Pasted markdown(20).md,src/data/knowledge/03_participation_opportunities.csv,6,legacy_master,false,true,false,,اختيار ملابس النوم,true,true,true,true,true,true,true,مراقبة|تقييم,legacy_assistance_levels|legacy_execution_steps
CLO-006-OP001,CLO-006-OP001,اختيار ملابس مناسبة لمناسبة اجتماعية أو رسمية,CLO-006,اختيار ملابس مناسبة لمناسبة اجتماعية أو رسمية,DOM-CLO,الملابس والعناية بها,منزلي,,,,,CLO-006,,لتعلّم قراءة سياق المناسبة واختيار الزي المناسب لها، وهي مهارة اجتماعية مهمة.,advanced,,moderate,advanced,advanced,اعتُمد مستوى بُعدين من ثلاثة: حجم الدور متوسط، الترابط والتنظيم متقدم، الاختيار والتكيف متقدم.,,مراقبة اختيار البالغ. المشاركة في الاختيار من مجموعة محددة. الاختيار الكامل المستقل.,ملاءمة الاختيار لنوع المناسبة دون تدخل.,"الانتقال إلى فرصة ""اختيار إكسسوارات مناسبة للملابس المرتداة"".",معرفة نوع المناسبة ودرجة رسميتها. تجهيز خيارات الزي المناسبة مسبقًا.,تحديد نوع المناسبة. مراجعة الخيارات المتاحة. اختيار الزي المناسب. التأكد من نظافته وجاهزيته.,"تصنيف الخزانة إلى ""يومي/رسمي"" بعلامات واضحة.",بطاقة تصنيف المناسبات والأزياء المناسبة لها.,CLO-006-CARD001,1,1,معتمد مبدئيًا,false,Pasted markdown(20).md,src/data/knowledge/03_participation_opportunities.csv,7,legacy_master,false,true,false,,اختيار ملابس مناسبه لمناسبه اجتماعيه او رسميه,true,true,true,true,true,true,true,لتعلّم|تعلّم|مراقبة,legacy_purpose_text|legacy_assistance_levels
CLO-007-OP001,CLO-007-OP001,ارتداء الملابس,CLO-007,ارتداء الملابس,DOM-CLO,الملابس والعناية بها,منزلي,,,,,CLO-007,,لأنها مهارة استقلالية أساسية يومية ترتبط بالخصوصية والاستعداد للنشاط.,moderate,,simple,advanced,moderate,حالة حدودية: اختلفت الأبعاد الثلاثة (حجم الدور بسيط، الترابط والتنظيم متقدم، الاختيار والتكيف متوسط)، واعتُمد المستوى المتوسط للمراجعة.,,مساعدة كاملة. مساعدة جزئية في خطوة واحدة (مثل الأزرار). ارتداء مستقل كامل.,تقليل عدد الخطوات التي تحتاج مساعدة.,"الانتقال إلى فرصة ""خلع الملابس في نهاية اليوم"" لاحقًا في اليوم.",تجهيز القطع المختارة مسبقًا وبترتيب الارتداء. إتاحة خصوصية كافية في المكان.,ارتداء الملابس الداخلية. ارتداء القطعة السفلية ثم العلوية. إغلاق الأزرار أو السحابات. التأكد من الترتيب النهائي.,ترتيب القطع بتسلسل الارتداء على الكرسي أو السرير مسبقًا.,بطاقة تسلسل مصورة لخطوات الارتداء.,CLO-007-CARD001,1,1,معتمد مبدئيًا,true,Pasted markdown(20).md,src/data/knowledge/03_participation_opportunities.csv,8,legacy_master,false,true,false,,ارتداء الملابس,true,true,true,true,true,true,true,,
CLO-008-OP001,CLO-008-OP001,خلع الملابس في نهاية اليوم,CLO-008,خلع الملابس في نهاية اليوم,DOM-CLO,الملابس والعناية بها,منزلي,,,,,CLO-008,,لتعزيز روتين النظافة الشخصية والانتقال المريح نحو الراحة أو النوم.,moderate,,simple,advanced,moderate,حالة حدودية: اختلفت الأبعاد الثلاثة (حجم الدور بسيط، الترابط والتنظيم متقدم، الاختيار والتكيف متوسط)، واعتُمد المستوى المتوسط للمراجعة.,,مساعدة كاملة. مساعدة جزئية. تنفيذ مستقل مع وضع الملابس في مكانها الصحيح.,الانتظام في وضع الملابس في السلة دون تذكير.,"الارتباط بفرصة ""جمع الملابس المتسخة من أفراد الأسرة"".",تجهيز سلة أو مكان مخصص للملابس المخلوعة.,خلع القطعة العلوية. خلع القطعة السفلية. وضع الملابس في السلة المخصصة.,وضع سلة الغسيل في مكان قريب ومرئي.,ملصق توضيحي على السلة المخصصة.,CLO-008-CARD001,1,1,معتمد مبدئيًا,true,Pasted markdown(20).md,src/data/knowledge/03_participation_opportunities.csv,9,legacy_master,false,true,false,,خلع الملابس في نهايه اليوم,true,true,true,true,true,true,true,,
CLO-009-OP001,CLO-009-OP001,تغيير الملابس بعد اتساخها أو تبللها,CLO-009,تغيير الملابس بعد اتساخها أو تبللها,DOM-CLO,الملابس والعناية بها,منزلي,,,,,CLO-009,,لتعلّم التعرف على الحاجة للتغيير حفاظًا على النظافة والراحة الجسدية.,advanced,,advanced,advanced,advanced,تطابقت الأبعاد الثلاثة: حجم الدور متقدم، الترابط والتنظيم متقدم، الاختيار والتكيف متقدم.,,طلب المساعدة عند الحاجة. التغيير بمساعدة جزئية. التغيير المستقل الكامل عند الملاحظة الذاتية.,سرعة الاستجابة عند ملاحظة الحاجة للتغيير.,"الارتباط بفرصة ""تغيير اللباس الداخلي اليومي"".",معرفة مكان الملابس البديلة الجاهزة.,ملاحظة الاتساخ أو البلل. خلع القطعة المتأثرة. ارتداء قطعة نظيفة بديلة. وضع القطعة المتسخة في مكانها الصحيح.,تجهيز طقم بديل جاهز في مكان يسهل الوصول إليه.,إشارة أو بطاقة طلب مساعدة سريعة.,CLO-009-CARD001,1,1,معتمد مبدئيًا,false,Pasted markdown(20).md,src/data/knowledge/03_participation_opportunities.csv,10,legacy_master,false,true,false,,تغيير الملابس بعد اتساخها او تبللها,true,true,true,true,true,true,true,لتعلّم|تعلّم|بمساعدة,legacy_purpose_text|legacy_assistance_levels
CLO-010-OP001,CLO-010-OP001,جمع الملابس المتسخة من أفراد الأسرة,CLO-010,جمع الملابس المتسخة من أفراد الأسرة,DOM-CLO,الملابس والعناية بها,منزلي,,,,,CLO-010,,لتعلّم المساهمة في مهام الأسرة المشتركة وتحمّل مسؤولية بسيطة ومنتظمة.,simple,,simple,advanced,simple,اعتُمد مستوى بُعدين من ثلاثة: حجم الدور بسيط، الترابط والتنظيم متقدم، الاختيار والتكيف بسيط.,,المرافقة أثناء الجمع. الجمع من غرفة واحدة محددة. الجمع الكامل من كل الغرف.,إتمام المهمة دون تذكير متكرر.,"الانتقال إلى فرصة ""فرز الملابس المتسخة قبل الغسيل"".",معرفة أماكن السلال المخصصة في كل غرفة.,المرور على الغرف والحمامات. تجميع الملابس المستخدمة. نقلها إلى منطقة الغسيل.,استخدام سلة متنقلة سهلة الحمل.,قائمة تحقق بأماكن السلال.,CLO-010-CARD001,1,1,معتمد مبدئيًا,false,Pasted markdown(20).md,src/data/knowledge/03_participation_opportunities.csv,11,legacy_master,false,true,false,,جمع الملابس المتسخه من افراد الاسره,true,true,true,true,true,true,true,لتعلّم|تعلّم,legacy_purpose_text
