sample_id,candidate_id,proposed_framework_reference_id,domain,event_id,title,level,mode,source_evidence_ids,review_focus,decision,image_review_status,issue_type,reviewer_notes,required_fix
"EXP12-02-01","FP-CAND-002","FR-EXP12-02-FOOD002-OP001","إعداد الطعام والوجبات","FOOD-002","تجهيز ما يلزم لتقديم الغداء","moderate","shared","FOOD-002-OP003|FOOD-002-OP005","meal serving handoff|multi-block family preparation","REVISE_WORDING","IMAGE_NOT_REQUIRED_FOR_CONTENT_APPROVAL","serving/cooking wording mismatch","الفكرة صالحة، لكن كتلة إحضار أدوات الطهي لا تطابق نية تقديم الغداء.","استبدال أدوات الطهي بأدوات التقديم وتضييق النهاية إلى الجزء المتفق عليه."
"EXP12-02-02","FP-WAVE-A-011","FR-EXP12-02-FOOD007-OP002","إعداد الطعام والوجبات","FOOD-007","ترتيب الحوافظ في حقيبة السفر","moderate","individual","FOOD-007-OP004","travel packing|individual role inside family trip","REVISE_WORDING","IMAGE_NOT_REQUIRED_FOR_CONTENT_APPROVAL","template wording","توجد صياغة وجدانية وقالبية لا تصف أثرًا أسريًا ملموسًا بما يكفي.","استبدال عبارة اللمسة الأخيرة والأثر الواضح بأثر حقيبة السفر الجاهزة."
"EXP12-02-03","FP-CAND-012","FR-EXP12-02-SHOP005-OP003","التسوق وإدارة المشتريات","SHOP-005","تجهيز الخضار والفواكه المختارة للشراء","moderate","shared","SHOP-005-OP001|SHOP-005-OP002|SHOP-005-OP003","shopping produce quality|weighing handoff","REVISE_SCOPE","IMAGE_NOT_REQUIRED_FOR_CONTENT_APPROVAL","quality-choice scope","اختيار الثمار السليمة قد يبدو قرار جودة كاملًا، ويحتاج ربطه باختيار الأسرة.","جعل الدور تجهيز المنتجات التي اختارتها الأسرة، مع فحص ظاهر محدود لا مسؤولية قرار الشراء الكامل."
"EXP12-02-04","FP-WAVE-A-010","FR-EXP12-02-SHOP009-OP004","التسوق وإدارة المشتريات","SHOP-009","فحص سلامة العبوات من الانبعاج أو التلف","moderate","individual","SHOP-009-OP002","product inspection|choice-quality risk","REVISE_SCOPE","IMAGE_NOT_REQUIRED_FOR_CONTENT_APPROVAL","vague inspection blocks","الكتل قصيرة جدًا: حملها/فحصها/اختيار السليمة، وقد تضع قرار الجودة كاملًا على الفرد.","تحويلها إلى فحص ظاهر لعبوة محددة مع الأسرة، لا قرار شراء مستقل."
"EXP12-02-05","FP-CAND-016","FR-EXP12-02-HOME002-OP005","إدارة المنزل","HOME-002","ترتيب الطاولة الوسطية في غرفة المعيشة","moderate","shared","HOME-002-OP001|HOME-002-OP002|HOME-002-OP003|HOME-002-OP004|HOME-002-OP005","home scope boundary|multi-object surface reset","REVISE_WORDING","IMAGE_NOT_REQUIRED_FOR_CONTENT_APPROVAL","complexity title mismatch","أبعاد التعقيد تذكر إعادة غرفة المعيشة بدل الطاولة الوسطية.","مواءمة أبعاد التعقيد مع نطاق الطاولة فقط."
"EXP12-02-06","FP-CAND-017","FR-EXP12-02-HOME006-OP006","إدارة المنزل","HOME-006","تنظيم أحذية الأسرة في المدخل","moderate","shared","HOME-006-OP001|HOME-006-OP002|HOME-006-OP003","matching/sorting|shared entryway order","ACCEPT","IMAGE_NOT_REQUIRED_FOR_CONTENT_APPROVAL","none","الدور واضح ومشترك وجزئي، وكتل التنفيذ ملموسة.","لا تعديل مطلوب."
"EXP12-02-07","FP-CAND-023","FR-EXP12-02-COMM007-OP007","الأنشطة والمشاركة المجتمعية","COMM-007","اختيار وطلب وجبة في المطعم","moderate","individual","COMM-007-OP002|COMM-007-OP003","staff communication|menu choice","REVISE_CONTEXT","IMAGE_NOT_REQUIRED_FOR_CONTENT_APPROVAL","completion after serving","النهاية عند تقديم الطلب تؤخر نهاية الدور؛ الدور ينتهي عند وصول الطلب للنادل.","تضييق الدور إلى اختيار وجبة متفق عليها وإبلاغ النادل بها، لا إتمام الزيارة."
"EXP12-02-08","FP-WAVE-A-012","FR-EXP12-02-COMM025-OP008","الأنشطة والمشاركة المجتمعية","COMM-025","تعبئة بيانات العنوان على الطرد","moderate","shared","COMM-025-OP001","address/timing context|pre-post office boundary","ACCEPT","IMAGE_NOT_REQUIRED_FOR_CONTENT_APPROVAL","none","السياق الزمني مضبوط قبل الذهاب للبريد، والكتل ملموسة.","لا تعديل مطلوب."
"EXP12-02-09","FP-WAVE-A-002","FR-EXP12-02-HEALTH001-OP009","الصحة والمواعيد","HEALTH-001","تسجيل موعد الزيارة في التقويم","moderate","shared","HEALTH-001-OP003","health appointment date handling|calendar entry","REVISE_WORDING","IMAGE_NOT_REQUIRED_FOR_CONTENT_APPROVAL","single broad block","الكتلة الوحيدة واسعة، والنية تحتاج صياغة أثر منزلي أوضح.","تقسيم تسجيل التقويم إلى فتح/إدخال/حفظ مع الأسرة."
"EXP12-02-10","FP-WAVE-A-004","FR-EXP12-02-HEALTH007-OP010","الصحة والمواعيد","HEALTH-007","استلام رقم الانتظار","moderate","shared","HEALTH-007-OP003","health staff interaction|queue number handling","REVISE_WORDING","IMAGE_NOT_REQUIRED_FOR_CONTENT_APPROVAL","independence/template wording","توجد عبارة بنفسه وصياغة أثر قالبية في سياق صحي خارجي.","صياغة الدور كاستلام رقم ضمن وجود الأسرة، لا استقلال أو إتمام تسجيل كامل."
"EXP12-02-11","FP-CAND-028","FR-EXP12-02-CLO002-OP011","الملابس والعناية بها","CLO-002","استلام طلب ملابس للأسرة","moderate","individual","CLO-002-OP001","delivery/staff handoff|clothing order receipt","REVISE_CONTEXT","IMAGE_NOT_REQUIRED_FOR_CONTENT_APPROVAL","handoff safety framing","استلام الطرد من مندوب خارجي يحتاج تأطيرًا أسريًا واضحًا حتى لا يبدو مسؤولية منفردة.","جعل الاستلام مع الأسرة، وتحديد أن المراجعة فقط للاسم/رقم الطلب لا فتح المحتوى."
"EXP12-02-12","FP-CAND-029","FR-EXP12-02-CLO003-OP012","الملابس والعناية بها","CLO-003","إرجاع أو استبدال قطعة غير مناسبة","advanced","individual","CLO-003-OP001","advanced clothing return/exchange|scope and external-service risk","REVISE_SCOPE","IMAGE_NOT_REQUIRED_FOR_CONTENT_APPROVAL","execution block equals role","كتلة التنفيذ تساوي الدور نفسه، والدور متقدم أكثر من اللازم إن حمل معاملة الإرجاع كاملة.","تحويل الدور إلى تجهيز قطعة الإرجاع ومعلومة الطلب، مع بقاء قرار المعاملة للأسرة."
