service_id,provider_id,service_domain,service_name_ar,target_age_if_stated,service_completeness,user_priority,confidence_level,access_method,service_scope,is_active,featured,display_order,last_verified,verification_status,updated_at
S_001,P_001,Vocational Education,شهادة المستوى الثاني في مهارات التوظيف (تدريب ميداني),Adults/Youth,COMPLETE,HIGH,PRIMARY VERIFIED,Visit,Emirate,true,true,1,2026-08-09,VERIFIED,2026-08-09
S_002,P_002,Transition Services,توجيه الأسر لخدمات الانتقال والمجتمع,All Ages,COMPLETE,HIGH,PRIMARY VERIFIED,Mixed,Emirate,true,true,1,2026-08-09,VERIFIED,2026-08-09
S_003,P_003,Transportation,إعفاء بوابات درب وخصومات النقل,All Ages,COMPLETE,HIGH,PRIMARY VERIFIED,Online,Emirate,true,true,1,2026-08-09,VERIFIED,2026-08-09
S_004,P_004,Sports,برنامج المشاركة الرياضية الدامجة,All Ages,COMPLETE,MEDIUM,PRIMARY VERIFIED,Mixed,Emirate,true,false,1,2026-08-09,VERIFIED,2026-08-09
S_005,P_005,Transportation,خدمات السفر ودوار الشمس في مطار دبي,All Ages,NEARLY_COMPLETE,HIGH,SECONDARY ONLY,Visit,City,true,false,2,2026-08-09,UNVERIFIED,2026-08-09
S_006,P_006,Accessibility & Facilitation,بطاقة نول المجانية وتصاريح المواقف,All Ages,COMPLETE,HIGH,PRIMARY + SECONDARY,Online,Emirate,true,true,1,2026-08-09,VERIFIED,2026-08-09
S_007,P_007,Financial Support,إصدار بطاقة سند وتسهيلات مالية,All Ages,COMPLETE,HIGH,PRIMARY VERIFIED,Online,Emirate,true,true,1,2026-08-09,VERIFIED,2026-08-09
S_008,P_008,Financial Support,منفعة تأهيل بيئة العمل والأجهزة المساعدة,Under 60,COMPLETE,HIGH,PRIMARY VERIFIED,Online,Emirate,true,true,2,2026-08-09,VERIFIED,2026-08-09
S_009,P_009,Vocational Education,منصة همة لتوظيف تخصص القانون,Adults,COMPLETE,MEDIUM,PRIMARY VERIFIED,Online,Emirate,true,false,10,2026-08-09,VERIFIED,2026-08-09
S_010,P_010,Family / Peer Support,برنامج نحو أسرة أقوى (دعم الأسرة),Adults/Youth,COMPLETE,HIGH,PRIMARY VERIFIED,Mixed,Emirate,true,true,1,2026-08-09,VERIFIED,2026-08-09
S_011,P_011,Vocational Education,دبلوم تدريب مهني معتمد - Maxi Gold,16+,COMPLETE,HIGH,PRIMARY VERIFIED,Visit,City,true,true,2,2026-08-09,VERIFIED,2026-08-09
S_012,P_012,Vocational Education,التدريب المهني المستمر بالمركز,Teens/Adults,COMPLETE,MEDIUM,PRIMARY VERIFIED,Visit,City,true,false,11,2026-08-09,VERIFIED,2026-08-09
S_013,P_013,Vocational Education,برنامج مسارات للتوظيف,Adults/Youth,COMPLETE,HIGH,PRIMARY VERIFIED,Mixed,Emirate,true,true,3,2026-08-09,VERIFIED,2026-08-09
S_014,P_014,Sports,العضوية والمشاركة الرياضية (رجال وإناث),Adults/Youth,COMPLETE,LOW,PRIMARY VERIFIED,Visit,Emirate,true,false,4,2026-08-09,VERIFIED,2026-08-09
S_015,P_015,Vocational Education,منصة التوظيف عبر بوابة عجمان,Adults,COMPLETE,HIGH,PRIMARY VERIFIED,Online,Emirate,true,true,4,2026-08-09,VERIFIED,2026-08-09
S_016,P_016,Sports,بطولات البولينج الدامجة (رمضان),Adults,COMPLETE,LOW,PRIMARY VERIFIED,Visit,Emirate,true,false,5,2026-08-09,VERIFIED,2026-08-09
S_017,P_017,Special Education,تأهيل أصحاب الهمم (وزارة التنمية),All Ages,PARTIAL,MEDIUM,SECONDARY ONLY,Visit,Emirate,true,false,1,2026-08-09,UNVERIFIED,2026-08-09
S_018,P_018,Higher Education,مكتب دعم أصحاب الهمم (تسهيلات التعلم),Adults,COMPLETE,HIGH,PRIMARY VERIFIED,Visit,City,true,true,1,2026-08-09,VERIFIED,2026-08-09
S_019,P_019,Special Education,التأهيل الوظيفي ودعم التوحد,All Ages,NEARLY_COMPLETE,MEDIUM,PRIMARY VERIFIED,Visit,Emirate,true,false,2,2026-08-09,VERIFIED,2026-08-09
