opportunity_id,event_id,opportunity_name_ar,display_order,future_participation_level,safety_mode,status,source_file,participation_level,role_scope,organization_demand,variation_demand,classification_reason,review_required
CLO-001-OP001,CLO-001,شراء ملابس جديدة للأسرة,1,,,معتمد مبدئيًا,Pasted markdown(20).md,advanced,advanced,advanced,advanced,تطابقت الأبعاد الثلاثة: حجم الدور متقدم، الترابط والتنظيم متقدم، الاختيار والتكيف متقدم.,false
CLO-002-OP001,CLO-002,استلام طلب ملابس عبر الإنترنت,1,,,معتمد مبدئيًا,Pasted markdown(20).md,advanced,advanced,advanced,simple,اعتُمد مستوى بُعدين من ثلاثة: حجم الدور متقدم، الترابط والتنظيم متقدم، الاختيار والتكيف بسيط.,false
CLO-003-OP001,CLO-003,إرجاع أو استبدال ملابس غير مناسبة,1,,,معتمد مبدئيًا,Pasted markdown(20).md,advanced,advanced,advanced,moderate,اعتُمد مستوى بُعدين من ثلاثة: حجم الدور متقدم، الترابط والتنظيم متقدم، الاختيار والتكيف متوسط.,false
CLO-004-OP001,CLO-004,اختيار ملابس النهار المناسبة للطقس,1,,,معتمد مبدئيًا,Pasted markdown(20).md,advanced,moderate,advanced,advanced,اعتُمد مستوى بُعدين من ثلاثة: حجم الدور متوسط، الترابط والتنظيم متقدم، الاختيار والتكيف متقدم.,false
CLO-005-OP001,CLO-005,اختيار ملابس النوم,1,,,معتمد مبدئيًا,Pasted markdown(20).md,moderate,moderate,advanced,moderate,اعتُمد مستوى بُعدين من ثلاثة: حجم الدور متوسط، الترابط والتنظيم متقدم، الاختيار والتكيف متوسط.,false
CLO-006-OP001,CLO-006,اختيار ملابس مناسبة لمناسبة اجتماعية أو رسمية,1,,,معتمد مبدئيًا,Pasted markdown(20).md,advanced,moderate,advanced,advanced,اعتُمد مستوى بُعدين من ثلاثة: حجم الدور متوسط، الترابط والتنظيم متقدم، الاختيار والتكيف متقدم.,false
CLO-007-OP001,CLO-007,ارتداء الملابس,1,,,معتمد مبدئيًا,Pasted markdown(20).md,simple,simple,advanced,simple,اعتُمد مستوى بُعدين من ثلاثة: حجم الدور بسيط، الترابط والتنظيم متقدم، الاختيار والتكيف بسيط.,false
CLO-008-OP001,CLO-008,خلع الملابس في نهاية اليوم,1,,,معتمد مبدئيًا,Pasted markdown(20).md,simple,simple,advanced,simple,اعتُمد مستوى بُعدين من ثلاثة: حجم الدور بسيط، الترابط والتنظيم متقدم، الاختيار والتكيف بسيط.,false
CLO-009-OP001,CLO-009,تغيير الملابس بعد اتساخها أو تبللها,1,,,معتمد مبدئيًا,Pasted markdown(20).md,advanced,advanced,advanced,advanced,تطابقت الأبعاد الثلاثة: حجم الدور متقدم، الترابط والتنظيم متقدم، الاختيار والتكيف متقدم.,false
CLO-010-OP001,CLO-010,جمع الملابس المتسخة من أفراد الأسرة,1,,,معتمد مبدئيًا,Pasted markdown(20).md,simple,simple,advanced,simple,اعتُمد مستوى بُعدين من ثلاثة: حجم الدور بسيط، الترابط والتنظيم متقدم، الاختيار والتكيف بسيط.,false
