provider_id,name_ar,name_en,provider_type,emirate,website,is_active,featured,display_order,last_verified,verification_status,updated_at
P_001,مؤسسة زايد العليا لأصحاب الهمم,Zayed Higher Organization,Government,Abu Dhabi,https://www.za.gov.ae,true,true,1,2026-08-09,VERIFIED,2026-08-09
P_002,دائرة التعليم والمعرفة,ADEK,Government,Abu Dhabi,https://www.adek.gov.ae,true,true,2,2026-08-09,VERIFIED,2026-08-09
P_003,أبوظبي للتنقل,Abu Dhabi Mobility,Government,Abu Dhabi,https://admobility.gov.ae,true,true,3,2026-08-09,VERIFIED,2026-08-09
P_004,مجلس أبوظبي الرياضي,Abu Dhabi Sports Council,Government,Abu Dhabi,https://adsc.gov.ae,true,false,4,2026-08-09,VERIFIED,2026-08-09
P_005,مطارات دبي,Dubai Airports,Government,Dubai,https://www.dubai.ae,true,false,5,2026-08-09,UNVERIFIED,2026-08-09
P_006,هيئة الطرق والمواصلات بدبي,RTA Dubai,Government,Dubai,https://www.rta.ae,true,true,6,2026-08-09,VERIFIED,2026-08-09
P_007,هيئة تنمية المجتمع بدبي,CDA Dubai,Government,Dubai,https://www.cda.gov.ae,true,true,7,2026-08-09,VERIFIED,2026-08-09
P_008,دائرة التشريفات والضيافة - دبي,Dubai Protocol Department,Government,Dubai,https://www.protocol.dubai.ae,true,true,8,2026-08-09,VERIFIED,2026-08-09
P_009,دائرة الشؤون القانونية لحكومة دبي,Legal Affairs Department,Government,Dubai,https://legal.dubai.gov.ae,true,false,9,2026-08-09,VERIFIED,2026-08-09
P_010,نادي دبي لأصحاب الهمم,Dubai Club for PoD,Nonprofit,Dubai,https://dcd.org.ae,true,true,10,2026-08-09,VERIFIED,2026-08-09
P_011,أكاديمية ماي ماكسيموس للتدريب,MyMaximus Training Academy,Private,Dubai,https://mymaximusglobal.com,true,true,11,2026-08-09,VERIFIED,2026-08-09
P_012,مركز راشد لأصحاب الهمم,Rashid Centre for PoD,Nonprofit,Dubai,https://rashidc.ae,true,false,12,2026-08-09,VERIFIED,2026-08-09
P_013,مدينة الشارقة للخدمات الإنسانية,SCHS,Nonprofit,Sharjah,https://schsuae.schs.sharjah.ae,true,true,13,2026-08-09,VERIFIED,2026-08-09
P_014,نادي الثقة للمعاقين,Al Thiqah Club for Disabled,Nonprofit,Sharjah,https://www.althiqahclub.com,true,false,14,2026-08-09,VERIFIED,2026-08-09
P_015,دائرة عجمان الرقمية,Ajman Digital Department,Government,Ajman,https://www.ajman.ae,true,true,15,2026-08-09,VERIFIED,2026-08-09
P_016,نادي الشرطة للرياضة والرماية بعجمان,Ajman Police Sports Club,Government,Ajman,https://www.ajmanpolice.gov.ae,true,false,16,2026-08-09,VERIFIED,2026-08-09
P_017,مركز عجمان لرعاية وتأهيل أصحاب الهمم,Ajman Rehab Center (MoCD),Government,Ajman,https://www.mocd.gov.ae,true,false,17,2026-08-09,UNVERIFIED,2026-08-09
