event_id,domain_id,event_name,description,environment,frequency,related_domains,display_order,status,source_file
CLO-001,DOM-CLO,شراء ملابس جديدة للأسرة,,,,,1,معتمد مبدئيًا,Pasted markdown(20).md
CLO-002,DOM-CLO,استلام طلب ملابس عبر الإنترنت,,,,,2,معتمد مبدئيًا,Pasted markdown(20).md
CLO-003,DOM-CLO,إرجاع أو استبدال ملابس غير مناسبة,,,,,3,معتمد مبدئيًا,Pasted markdown(20).md
CLO-004,DOM-CLO,اختيار ملابس النهار المناسبة للطقس,,,,,4,معتمد مبدئيًا,Pasted markdown(20).md
CLO-005,DOM-CLO,اختيار ملابس النوم,,,,,5,معتمد مبدئيًا,Pasted markdown(20).md
CLO-006,DOM-CLO,اختيار ملابس مناسبة لمناسبة اجتماعية أو رسمية,,,,,6,معتمد مبدئيًا,Pasted markdown(20).md
CLO-007,DOM-CLO,ارتداء الملابس,,,,,7,معتمد مبدئيًا,Pasted markdown(20).md
CLO-008,DOM-CLO,خلع الملابس في نهاية اليوم,,,,,8,معتمد مبدئيًا,Pasted markdown(20).md
CLO-009,DOM-CLO,تغيير الملابس بعد اتساخها أو تبللها,,,,,9,معتمد مبدئيًا,Pasted markdown(20).md
CLO-010,DOM-CLO,جمع الملابس المتسخة من أفراد الأسرة,,,,,10,معتمد مبدئيًا,Pasted markdown(20).md
CLO-011,DOM-CLO,فرز الملابس المتسخة قبل الغسيل,,,,,11,معتمد مبدئيًا,Pasted markdown(20).md
CLO-012,DOM-CLO,تشغيل دورة غسيل الملابس,,,,,12,معتمد مبدئيًا,Pasted markdown(20).md
CLO-013,DOM-CLO,نشر الملابس لتجفيفها طبيعيًا,,,,,13,معتمد مبدئيًا,Pasted markdown(20).md
CLO-014,DOM-CLO,استخدام مجفف الملابس الكهربائي,,,,,14,معتمد مبدئيًا,Pasted markdown(20).md
CLO-015,DOM-CLO,كي الملابس لإزالة التجاعيد,,,,,15,معتمد مبدئيًا,Pasted markdown(20).md
CLO-016,DOM-CLO,طي الملابس النظيفة,,,,,16,معتمد مبدئيًا,Pasted markdown(20).md
CLO-017,DOM-CLO,تعليق الملابس في الخزانة,,,,,17,معتمد مبدئيًا,Pasted markdown(20).md
CLO-018,DOM-CLO,ترتيب وإعادة تنظيم خزانة الملابس,,,,,18,معتمد مبدئيًا,Pasted markdown(20).md
CLO-019,DOM-CLO,البحث عن قطعة ملابس مفقودة أو مختبئة,,,,,19,معتمد مبدئيًا,Pasted markdown(20).md
CLO-020,DOM-CLO,تصليح ملابس ممزقة أو تالفة,,,,,20,معتمد مبدئيًا,Pasted markdown(20).md
CLO-021,DOM-CLO,تبديل أزرار مفقودة أو تالفة,,,,,21,معتمد مبدئيًا,Pasted markdown(20).md
CLO-022,DOM-CLO,إزالة بقع صعبة من الملابس,,,,,22,معتمد مبدئيًا,Pasted markdown(20).md
CLO-023,DOM-CLO,غسل الملابس الحساسة باليد,,,,,23,معتمد مبدئيًا,Pasted markdown(20).md
CLO-024,DOM-CLO,إرسال ملابس خاصة إلى التنظيف الجاف,,,,,24,معتمد مبدئيًا,Pasted markdown(20).md
CLO-025,DOM-CLO,تخزين الملابس الموسمية (شتوية/صيفية),,,,,25,معتمد مبدئيًا,Pasted markdown(20).md
CLO-026,DOM-CLO,إخراج الملابس الموسمية من التخزين,,,,,26,معتمد مبدئيًا,Pasted markdown(20).md
CLO-027,DOM-CLO,التبرع بملابس لم تعد مستخدمة,,,,,27,معتمد مبدئيًا,Pasted markdown(20).md
CLO-028,DOM-CLO,التخلص من ملابس بالية غير صالحة,,,,,28,معتمد مبدئيًا,Pasted markdown(20).md
CLO-029,DOM-CLO,تمرير ملابس الأطفال الكبار للأصغر سناً,,,,,29,معتمد مبدئيًا,Pasted markdown(20).md
CLO-030,DOM-CLO,استلام ملابس مستعملة من أقارب أو أصدقاء,,,,,30,معتمد مبدئيًا,Pasted markdown(20).md
CLO-031,DOM-CLO,تجهيز حقيبة ملابس للسفر أو النزهات,,,,,31,معتمد مبدئيًا,Pasted markdown(20).md
CLO-032,DOM-CLO,تفريغ وتنظيف حقيبة الملابس بعد العودة,,,,,32,معتمد مبدئيًا,Pasted markdown(20).md
CLO-033,DOM-CLO,غسل ملابس العودة من السفر أو النشاط الخارجي,,,,,33,معتمد مبدئيًا,Pasted markdown(20).md
CLO-034,DOM-CLO,كتابة أسماء الأطفال على ملابس المدرسة الجديدة,,,,,34,معتمد مبدئيًا,Pasted markdown(20).md
CLO-035,DOM-CLO,تجهيز ملابس العودة للمدرسة أو العمل,,,,,35,معتمد مبدئيًا,Pasted markdown(20).md
CLO-036,DOM-CLO,تجهيز ملابس الرياضة أو النشاط البدني,,,,,36,معتمد مبدئيًا,Pasted markdown(20).md
CLO-037,DOM-CLO,غسل ملابس الرياضة أو العمل المتسخة بشكل خاص,,,,,37,معتمد مبدئيًا,Pasted markdown(20).md
CLO-038,DOM-CLO,تهوية الملابس قبل ارتدائها أو تعليقها,,,,,38,معتمد مبدئيًا,Pasted markdown(20).md
CLO-039,DOM-CLO,تغيير اللباس الداخلي اليومي,,,,,39,معتمد مبدئيًا,Pasted markdown(20).md
CLO-040,DOM-CLO,غسل اللباس الداخلي والجوارب بشكل منفصل,,,,,40,معتمد مبدئيًا,Pasted markdown(20).md
CLO-041,DOM-CLO,تنظيف وتلميع الأحذية,,,,,41,معتمد مبدئيًا,Pasted markdown(20).md
CLO-042,DOM-CLO,ترتيب الأحذية في مكان التخزين المخصص,,,,,42,معتمد مبدئيًا,Pasted markdown(20).md
CLO-043,DOM-CLO,البحث عن زوج حذاء مناسب للمناسبة,,,,,43,معتمد مبدئيًا,Pasted markdown(20).md
CLO-044,DOM-CLO,إصلاح أو صيانة الأحذية التالفة,,,,,44,معتمد مبدئيًا,Pasted markdown(20).md
